song,performer,week_id,week_position,year,weeks_on_chart
Positions,Ariana Grande,2021-03-06,9,2021,18
Rain On Me,Lady Gaga & Ariana Grande,2020-10-03,41,2020,18
Stuck With U,Ariana Grande & Justin Bieber,2020-09-19,100,2020,18
Save Your Tears,The Weeknd & Ariana Grande,2021-05-15,1,2021,19
Say So,Doja Cat Featuring Nicki Minaj,2020-05-23,2,2020,19
Rockstar,DaBaby Featuring Roddy Ricch,2020-09-05,4,2020,19
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-31,5,2020,19
Savage,Megan Thee Stallion,2020-08-01,6,2020,19
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-03-20,9,2021,19
Positions,Ariana Grande,2021-03-13,11,2021,19
Rain On Me,Lady Gaga & Ariana Grande,2020-10-10,55,2020,19
Say So,Doja Cat Featuring Nicki Minaj,2020-05-30,2,2020,20
Save Your Tears,The Weeknd & Ariana Grande,2021-05-22,4,2021,20
Rockstar,DaBaby Featuring Roddy Ricch,2020-09-12,4,2020,20
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-11-07,8,2020,20
Savage,Megan Thee Stallion,2020-08-08,9,2020,20
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-03-27,9,2021,20
Rockstar,DaBaby Featuring Roddy Ricch,2020-12-26,50,2020,35
Say So,Doja Cat Featuring Nicki Minaj,2020-09-19,40,2020,36
Say So,Doja Cat Featuring Nicki Minaj,2020-09-26,48,2020,37
Say So,Doja Cat Featuring Nicki Minaj,2020-10-03,47,2020,38
All I Want For Christmas Is You,Mariah Carey,2020-01-04,1,2020,36
All I Want For Christmas Is You,Mariah Carey,2020-11-28,29,2020,37
Rockin' Around The Christmas Tree,Brenda Lee,2021-01-02,2,2021,38
All I Want For Christmas Is You,Mariah Carey,2020-12-05,14,2020,38
All I Want For Christmas Is You,Mariah Carey,2020-12-12,2,2020,39
Rockin' Around The Christmas Tree,Brenda Lee,2021-01-09,12,2021,39
All I Want For Christmas Is You,Mariah Carey,2020-12-19,1,2020,40
All I Want For Christmas Is You,Mariah Carey,2020-12-26,2,2020,41
All I Want For Christmas Is You,Mariah Carey,2021-01-02,1,2021,42
All I Want For Christmas Is You,Mariah Carey,2021-01-09,9,2021,43
