song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,year
I Don't Care,Ed Sheeran & Justin Bieber,11/23/2019,24,20.0,2,27,2019
Good As Hell,Lizzo,3/7/2020,27,22.0,3,27,2020
Forever After All,Luke Combs,5/8/2021,29,35.0,2,27,2021
Intentions,Justin Bieber Featuring Quavo,8/22/2020,31,32.0,5,27,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2/27/2021,36,30.0,2,27,2021
Life Is Good,Future Featuring Drake,7/25/2020,39,24.0,2,27,2020
Middle Child,J. Cole,8/3/2019,49,40.0,4,27,2019
Dynamite,BTS,3/6/2021,50,45.0,1,27,2021
Happier,Marshmello & Bastille,3/9/2019,6,6.0,2,28,2019
Levitating,Dua Lipa Featuring DaBaby,4/24/2021,6,7.0,5,28,2021
Mood,24kGoldn Featuring iann dior,2/27/2021,7,5.0,1,28,2021
Don't Start Now,Dua Lipa,5/23/2020,9,6.0,2,28,2020
Go Crazy,Chris Brown & Young Thug,11/28/2020,12,13.0,9,28,2020
Memories,Maroon 5,4/11/2020,13,14.0,2,28,2020
Forever After All,Luke Combs,5/15/2021,23,29.0,2,28,2021
I Hope,Gabby Barrett Featuring Charlie Puth,7/18/2020,23,21.0,16,28,2020
Life Is Good,Future Featuring Drake,8/1/2020,28,39.0,2,28,2020
I Don't Care,Ed Sheeran & Justin Bieber,11/30/2019,30,24.0,2,28,2019
Good As Hell,Lizzo,3/14/2020,35,27.0,3,28,2020
Intentions,Justin Bieber Featuring Quavo,8/29/2020,37,31.0,5,28,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,3/6/2021,39,36.0,2,28,2021
Dynamite,BTS,3/13/2021,43,50.0,1,28,2021
Levitating,Dua Lipa Featuring DaBaby,5/1/2021,5,6.0,5,29,2021
Mood,24kGoldn Featuring iann dior,3/6/2021,7,7.0,1,29,2021
Happier,Marshmello & Bastille,3/16/2019,8,6.0,2,29,2019
Don't Start Now,Dua Lipa,5/30/2020,8,9.0,2,29,2020
Memories,Maroon 5,4/18/2020,15,13.0,2,29,2020
Go Crazy,Chris Brown & Young Thug,12/5/2020,17,12.0,9,29,2020
Forever After All,Luke Combs,5/22/2021,22,23.0,2,29,2021
I Hope,Gabby Barrett Featuring Charlie Puth,7/25/2020,23,23.0,16,29,2020
Life Is Good,Future Featuring Drake,8/8/2020,30,28.0,2,29,2020
I Don't Care,Ed Sheeran & Justin Bieber,12/7/2019,35,30.0,2,29,2019
Intentions,Justin Bieber Featuring Quavo,9/5/2020,42,37.0,5,29,2020
Dynamite,BTS,3/20/2021,43,43.0,1,29,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,3/13/2021,47,39.0,2,29,2021
Good As Hell,Lizzo,3/21/2020,49,35.0,3,29,2020
